company name,contact number,area,product category 1,product category 2
"A&C International Supply, S.A. de C.V., A&C SUPPLIES (A&C SUPPLIES)",tel:+52 2221764931,Puebla - Mexico,Metalworking machine tool ancillary equipment and accessories NES,"Vices, quick grip, for machine tools, metalworking"
"Protección Civil Especializada, PCE",tel:+52 55 63 87 87 32,Ecatepec de morelos - Mexico,"Training courses, business, commerce, marketing and advertising","Training courses, customer service"
"PARIZOT NEGOCIOS CON ENERGIA, SA DE CV, LOG&MEX",tel:+52 5515105102,Tlalnepantla - Mexico,Logistics and procurement services,Logistics management services (third party logistics)
"Grupo Her-Cor Seguridad Privada, GRUPO HER-COR SEGURIDAD PRIVADA (JORGE HERNANDEZ)",tel:+52 25289980,General escobedo - Mexico,Security consultants and services,
"Le Regard Hotel Boutique, AD",tel:+52 5529042499,Zumpango - Mexico,Hotels and motels,Hotels
Mer Agencia Aduanal,tel:+52 5526487475,Ciudad de méxico - Mexico,After sales services,
"Sistemas Avanzados de Protección, SiaProteccion",tel:+52 1328150,Ciudad del carmen - Mexico,Chemicals for water treatment,Biocides and algicides for industrial water treatment
"Detergentes y Químicos González, DQG",tel:+52 8122359547,Monterrey - Mexico,"Basic chemical products for cosmetics, perfumes, detergents and soaps",Chemicals for water treatment
"Grupo Salgar, Grupo Salgar (Grupo Salgar)",tel:+52 5511705957,Ecatepec - Mexico,"Carbohydrates, proteins and enzymes",Coenzyme Q10
"Recuperación Contenciosa, S.C., Reccon (Recuperación Contenciosa, SC)",tel:+52 4435358101,Miguel hidalgo - Mexico,Telecommunications services,Call/contact centre operators
"Grupo Dialogamia, S.A. de C.V., MKLA (MARKALA)",tel:+52 5531263693,Ciudad de méxico - Mexico,Information technology (IT) hosting services,Web hosting services
ADN Performance Management,tel:+52 5553350800,Cuauhtemoc quemado - Mexico,"Training courses, management and human resources","Training courses, corporate strategy and management"
Protecc,tel:+52 5570085370,Miguel hidalgo - Mexico,Chemical processing plant and equipment NES,"Ion exchange plant, chemical"
Axon Digital,tel:+52 81 2230 6772,Monterrey - Mexico,Marketing and merchandising services,Social media marketing services
Piscolorama,tel:+52 55 5646 8092,Iztapalapa - Mexico,Universities,"University faculties, psychology"
Klou Style,tel:+52 5541074727,Ciudad de méxico - Mexico,Jewellery,"Jewellery, souvenir"
"Cancun Transfers, Cancun Transfers (Cancun Transfers)",tel:+52 9985002133,Cancún - Mexico,Passenger cars,Packaging and crating services for transportation
"Sistemas Crisol, Crisol",tel:+52 3335606060,Guadalajara - Mexico,Enterprise application software (EAS),"Software, personnel management/human resources (HR)"
Moldes AW,tel:+52 3315 43 2062,Zapopan - Mexico,Mould and pattern making services for the rubber and plastic industry,"Moulds, metal, injection moulding, for plastics"
"Viclat Distribution Corp, VICLAT (SACOS Y COSTALES VICLAT DISTRIBUTION CORP)",tel:+52 3315297777,Zapopan - Mexico,"Bags and sacks, plastic","Bags and sacks, polypropylene (PP) film"
Clinique Beaute,tel:+52 55 1506 4292,Ciudad nezahualcoyotl - Mexico,Hospitals and clinics,Plastic surgery and/or cosmetic surgery clinics
Taqueria Los Espejos,tel:+52 55 3472 6659,Benito juárez - Mexico,Restaurants and bars,Restaurants
Trip Transportation,tel:+52 9982143144,Cancún - Mexico,"Travel agents, tour operators","Travel agents, international"
JOGAEMM,tel:+52 5569927536,Tlalnepantla - Mexico,Installation and maintenance services for civil engineering and building machinery and equipment,
SG Diseño y Construcción,tel:+52 5587909278,Gustavo a. madero - Mexico,"Earth-moving, excavation, foundation and tunnelling contractors","Culvert installation contractors, post-construction, road and railway"
Bolsas y Mochilas Ambar,tel:+52 55 3204 8121,Ciudad de méxico - Mexico,"Fabrics, linen, by use","Fabrics, linen, for bags and rucksacks"
"Prótesis Pies y Manos México, S.A. de C.V., PPyM Mexico (Prótesis Pies y Manos)",tel:+52 5588419674,Nuevo coyoacán - Mexico,Orthopaedic equipment,"Armbands, chest harnesses and leg bands"
Schaefer Sistemas International SA de CV (SSI Schaefer Sistemas International),tel:+52 28810111,Polanco (ranchería mineral polanco) - Mexico,Plastic containers,"Containers, plastic, collapsible"
"Productos de Hule Automotrices S.A de C.V, PHASA",tel:+52 55 53908009,Tlalnepantla - Mexico,Cork products,"Carpets, cork"
"CIM Maquilas Industriales, S.A. de C.V., CIM (VACONO en México)",tel:+52 54880414,Nápoles - Mexico,Petroleum products storage installations,"Oil storage tanks, fixed roof"
"Grupo Ideas Creativas Integrales, S.A. de C.V., IDEAS INTEGRALES",tel:+52 7221962476,Toluca - Mexico,"Training courses, finance, accounting and insurance","Training courses, fund raising"
"Kamavi Construcciones, S.A. de C.V.",tel:+52 4491876423,Pabellon de arteaga - Mexico,"Footwear, standard",Boots and ankle boots
"Tanner Máquinas y Herramientas S.A. de C.V, Tanner (Tanner Máquinas y Herramientas)",tel:+52 6144142223,Chihuahua - Mexico,Wholesale trade,
"Lubricash de México, S.A. de C.V.",tel:+52 55 54296176,Ciudad de méxico - Mexico,Mineral oils,"Lubricating oils, mineral, biodegradable"
"Membras Elbe, S.A. de C.V.",tel:+52 7772027210,Cuernavaca - Mexico,Civil engineering contractors NES,"Repair, restoration and renovation contractors for concrete"
EZPAK (Empaque Facil),tel:+52 8121214774,Monterrey - Mexico,Preservation and packaging services for agricultural products,Baling services for agricultural products
"Rhino Lifts, Rhino",tel:+52 800 6230 332,El sauz pedro escobedo - Mexico,Metal sheet and strip production machinery,"Levelling machines, metal strip"
"Proveedor de Dispositivos de Control S. A. de C. V., PRODICSA",tel:+52 4444758305,San luis potosí - Mexico,"Control systems, automatic","Control systems, automatic, electric (excluding synchros)"
"MMROMERO SA DE CV, MMROMERO (MEDALLAS Y MONEDAS ROMERO)",tel:+52 8119642404,Guadalajara - Mexico,"Cane, wicker, straw and rush products",Small articles made of various grasses
"INTERCONTINENTAL NETWORK SERVICES, S.C., INS México",tel:+52 33 3630 5656,Guadalajara - Mexico,"Road haulage, bulk",Transportation and logistics services
"Ruta 52 Mexico, R52Mx",tel:+52 6641028078,Tijuana - Mexico,"Headgear, NES",Caps (headgear)
"Roadtek S.A. de C.V., Roadtek",tel:+52 55 5888 0144,Tultitlán - Mexico,"Pipe, tube and hose accessories, metal","Pipe drains, metal"
"Jena Servicios de Administración y Mantenimiento, S. de R.L. de C.V., GRUPO JENA MEXICO",tel:+52 5530 9958,Ciudad de méxico - Mexico,Food processing services,Biopreservation services for the food industry
"Comedores Industriales Continental, Continental (Comedores Industriales)",tel:+52 5575895650,Ciudad de méxico - Mexico,"Food products, chilled","Delicatessen salads/deli salads, chilled"
"Lvmina Co, Lvmina Experience Center Smart Home",tel:+52 667 176 8031,Sinaloa - Mexico,"Control systems, automatic","Control systems, automatic, smart home"
"Fercam Environmental, S.A. de C.V., FERCAM (FERCAM)",tel:+52 4442133139,San luis potosí - Mexico,Ecology and environmental consultants NES,Environmental impact assessment consultants
"Mecatronica Tip, S.A. de C.V., MECATIP (Juan Manuel Aceves)",tel:+52 55 1749 3888,Cuauhtemoc quemado - Mexico,"Industrial robot components, automated equipment accessories",Positioning controls for automatic systems
"Industrias RL, SA de CV",tel:+52 8183970655,Escobedo - Mexico,"Electric lighting equipment, outdoor","Electric lighting equipment, outdoor, by type"
Grúas y Equipos García (Grúas y Equipos García),tel:+52 33 3646 2186,Tlaquepaque - Mexico,Cranes,"Cranes, tower"
"Recubrimientos Industriales PSG, S.A. de C.V, RECUBREPSG",tel:+52 81 83745754,Monterrey - Mexico,Building insulation and weather-proofing contractors,Waterproofing contractors for buildings
"Grupo Azul Profundo, Grupo Musical",tel:+52 4611182853,Celaya - Mexico,Advertising agents,"Advertising agents, music"
"Skay Solutions Méx, Sk",tel:+52 52 55 5336 0491,Coyoacán - Mexico,"Software, games and entertainment","Software, video game creation"
"Joaquín Manuel Alayola Badillo, Siaprotección",tel:+52 938 132 8150,Ciudad del carmen - Mexico,"Water, sewage and industrial effluent treatment plant and equipment","Sewage and effluent treatment plant, complete"
Mieles del Edén,tel:+52 986 100 4026,Mérida - Mexico,Honey products,Honey
"Atecba Industrial, ATC (MIRIAM)",tel:+52 88054199,Celaya - Mexico,Mortar,
"Productos y Servicios Raimel, S.A. de C.V., Raimel",tel:+52 555368 4652,Lindavista - Mexico,Logistics and procurement services,"Warehousing and distribution logistics services, national"
"Víctor Hernández, Fotografía",tel:+52 618 179 489,El saltito - Mexico,Albums and files,Photograph albums and wallets
"Productos Innovador, S.A. de C.V., Innovador",tel:+52 91717100,Cuautitlan - Mexico,"Soap, cleaning products and detergents, organic",Cleaning products and detergents
SIM México,tel:+52 6143062056,Chihuahua - Mexico,Electric power supplies,Electrical industry contractors
M Foods Ingredients,tel:+52 33 2382 7509,Tlajomulco de zúñiga - Mexico,"Spices and herbs, processed","Garlic and garlic flakes, dried"
"Energía Libre TEcnología Sustentable, ENERGIA LIBRE",tel:+52 3331231328,Zapopan - Mexico,"Gas, water, plumbing, heating, ventilation and air conditioning (HVAC) plant installation and maintenance contractors",Solar energy panel installation contractors
A&B Worldwide Commerce,tel:+52 4777541911,León - Mexico,,
"Lubricantes de América, S.A. de C.V., LUBRAL (LUBRAL)",tel:+52 81227400,Santa catarina - Mexico,"Lubricants, petroleum based","Hydraulic fluids and hydraulic oils, petroleum based"
"Extracto Empresarial Legal y Financiero, Planea Proyecta y Dirige",tel:+52 3330339930,Guadalajara - Mexico,Flatbed printing: letterpress and offset-photolithography,"Printing services, legal forms"
Mantenimiento a Subestaciones en Queretaro,tel:+52 7221326194,Toluca - Mexico,Electrical industry contractors,"Repair and maintenance services for electric motors, generators and transformers"
Distribuidora Karger (José Germán Acosta Pineda),tel:+52 9999380167,Mérida - Mexico,Information technology (IT) hosting services,Cloud computing services
Proyectos Eléctricos en Media Tensión en Ciudad de México,tel:+52 7221326194,Toluca - Mexico,Electrical industry contractors,"Repair and maintenance services for electric motors, generators and transformers"
Mantenimiento Electromecánico a Corporativos en Ciudad de México,tel:+52 7221326194,Toluca - Mexico,Electrical industry contractors,Maintenance services for electromechanical equipment
Instalaciones Eléctricas Industrial en Ciudad de México,tel:+52 7221326194,Toluca - Mexico,Maintenance and repair services for industrial equipment,
"Bancos de Capacitores en Toluca, Capacitores",tel:+52 7221326194,Toluca - Mexico,Maintenance and repair services for industrial equipment,
Instalación de Maquinaria Industrial en Toluca,tel:+52 7221326194,Toluca - Mexico,Electrical industry contractors,Maintenance services for electromechanical equipment
"Eco Service Control S. de R.L. de C.V., ECOSERVICE (ECOSERVICE)",tel:+52 5571594594,Naucalpan de juárez - Mexico,"Cleaning products and detergents, by use","Drain cleaners, chemical, liquid"
Astor Warehouse S.A. de C.V,tel:+52 55 5305 9076,Tlalnepantla de baz - Mexico,"Gas, water, plumbing, heating, ventilation and air conditioning (HVAC) plant installation and maintenance contractors",Fireplace and stove installation contractors
"Unidad Verificadora Uvie en Toluca, UVIE Toluca",tel:+52 7221326194,Toluca - Mexico,Electrical industry contractors,Maintenance services for electromechanical equipment
"Control Eléctrico en Toluca Estado de México, CONTROL ELECTRICO EN TOLUCA ESTADO DE MEXICO",tel:+52 1326194,Toluca - Mexico,Electrical industry contractors,Maintenance services for electromechanical equipment
"Macrocom With The World, SA de C.V., MWW",tel:+52 55 26229534,Tlalpan - Mexico,Logistics and procurement services,
Imanza,tel:+52 33 1363 1806,Tlaquepaque - Mexico,"Fruit, tropical and subtropical",Avocados
"Tierras Físicas en Toluca Estado de México, FM",tel:+52 7221326194,Toluca - Mexico,Electric substations and switch- boxes,"Substations, electric"
"Sistemas de Bombeo ARCAAL, S.A. de C.V., ARCAAL",tel:+52 5530798847,Ciudad de méxico - Mexico,"Sanitary and bathroom accessories, metal",Hydro-air whirlpool units for baths
"Couth México SA de CV, COUTH (Industrial Marking Systems)",tel:+52 8118221579,Apodaca - Mexico,Labelling and marking machinery and equipment,"Dot/spot marking systems, industrial"
"TecnoTanques, TecnoTanques",tel:+52 47701610,Zapopan - Mexico,"Tanks and vats, plastic","Septic tanks, plastic"
"Empaquetaduras y Artículos Ferreteros SA de CV, EMPAFSA",tel:+52 9211270527,Coatzacoalcos - Mexico,"Rings and washers, rubber","Gaskets, elastomer"
Maquirentals,tel:+52 844 415 5782,Saltillo - Mexico,"Harbour, river and canal construction machinery and equipment",Building machinery and equipment NES
"Unidad Especializada Integral K9 S de RL de CV, Unidad K9 (Unidad Integral K9)",tel:+52 6644840879,Tijuana - Mexico,Veterinary and specialised pet services,Boarding kennels and catteries
Escuela de Manejo Mónaco,tel:+52 55 257004,Ciudad de méxico - Mexico,"Training courses, manufacturing processes and industrial design","Training courses, mechanical handling equipment"
"Bega Helix S.A de C.V, Bega Helioidales",tel:+52 618 1295110,Nuevo durango - Mexico,Conveyors for bulk,"Conveyors and elevators, screw, for bulk"
"ZKP Corporativo Jurídico S.C., ZKP Agrario",tel:+52 9999650091,Mérida - Mexico,Lawyers,"Lawyers, construction"
"Industría de Refrigeración Integral y Mantenimiento en General SA de CV, IRISA",tel:+52 55 58936686,Cuautitlán izcalli - Mexico,"Installation and maintenance services, for heating, ventilation, air conditioning (HVAC) and refrigeration equipment",
"Láminas Multipanel Tecmac, TECMAC",tel:+52 8362422,Benito juarez - Mexico,"Earth-moving, excavation, foundation and tunnelling contractors","Culvert installation contractors, post-construction, road and railway"
"Orca Creative Agency S.A. de C.V., ORCA (Orca Be Creative)",tel:+52 81 11000310,Monterrey - Mexico,Advertisement and artwork services,
"Fmelectromecánica, FM (JUAN PEREZ GUTIERREZ)",tel:+52 7221326194,Toluca - Mexico,Plastic processing machinery and equipment NES,Static eliminators for plastics
"METALMECANICA AJAX, SA DE CV, METALAJAX",tel:+52 4422775013,El marqués - Mexico,"Machine tools, multifunctional, for metalworking",
Grupo Dam,tel:+52 81 19353101,San pedro garza garcia - Mexico,Business management consultants,Company expansion consultants
"Gutcamsa servicios de limpieza, Limpieza y aseo de oficinas (Gutcamsa)",tel:+52 9616042744,Tuxtla gutiérrez - Mexico,"Industrial cleaning services, by type of premises and equipment","Cleaning contractors, shops, supermarkets, department stores and shopping centres"
"Optimus Schola, S.A.P.I. de C.V, Kubus Educación (Kubus)",tel:+52 55 1107 0370,Ciudad de méxico - Mexico,Training and education consultants,
"Fijaciones Industriales Mariscal, S.A. de C.V, FIMSA",tel:+52 81234448,Monterrey - Mexico,Second-hand equipment,"Builders' tools and equipment, second-hand"
