company name ,contact number,Area,product category 1,product category 2,product category 3,company description
Vinasimex joint stock company,tel:+84 399176339 84377399633,Ha noi - Viet Nam,Coffee and coffee substitutes,"Aroma compounds, essential oils","Fruit, tropical and subtropical...",
VINACOMA,tel:+84 10000 0964093456,Hanoi - Viet Nam,Handling equipment parts and accessories,Cranes,Earth-moving machinery and equipment...,
"Fruit Offer, Fruit Offer (Fruit Offer)",tel:+84 292 3917 090,Can tho - Viet Nam,Fruit juices,"Fruit juice concentrates, frozen","Fruit juices, deep frozen...",
VNPOLYFIBER Viet Nam Polyester Staple Fiber,tel:+84 9 0904665251,"Ha noi, viet nam - Viet Nam","Staple fibres, man-made","Staple fibres, polyester","Fabrics, non-woven...",
HOANG THIEN KIM EQUIPMENTS PETROLEUM COMPANY LIMITED,tel:+84 358036673,Vung tau - Viet Nam,"Protective and safety work clothing, by use",Handling equipment NES,Hoists...,
"Hai Thien Phat Trading Service Co.,Ltd",tel:+84 945 522079,Bien hoa - Viet Nam,"Aroma compounds, essential oils","Citronella oil, lemon grass oil",,"Hi All we export Lemongrass to over the world, pls contact us for best co-operation , thanks + 84 945522079 https://wa.me/message/BOF4ACNA7TXSB1"
"TDS Trading Service Co., Ltd",tel:+84 905417000,Nha trang city - Viet Nam,Salt,"Cane, wicker, straw and rush products","Spices and herbs, processed...",
IDI Corporation,tel:+84 84 84942292834,Lap vo - Viet Nam,"Food, dehydrated and freeze-dried","Seafood, freeze-dried","Meat and fish, deep frozen...",
"GMEX.,JSC",tel:+84 858 8589222828,Hà nội - Viet Nam,"Religious articles, Buddhist and Hindu",Joss sticks/incense sticks,,
Chai nhựa Huy Nhất,tel:+84 0787586423,Tp. hồ chí minh - Viet Nam,Plastic packagings,"Packagings, polytetrafluoroethylene (PTFE)",,
Semitech Vina,tel:+84 383 944022,Bac giang - Viet Nam,"Sheet and film, plastic","Sheet and film, polyvinyl chloride (PVC)",,
VILACONIC JOINT STOCK COMPANY,tel:+84 96 84969948511,Ho chi minh city - Viet Nam,Cereals and pseudo cereals,Rice,Drying machinery and equipment for the food industry...,
Nam Bao Tin,tel:+84 7000 933773775,Tp hồ chí minh - Viet Nam,Starch,,,"Nam Bao Tin Import-Export Co., Ltd. Specializes in manufacturing tapioca starch and modified starch. Used as an additive raw material for the food production industry and the papermaking industry, ..."
Nam Bao Tin,tel:+84 0933773775,Tp hồ chí minh - Viet Nam,Starch,,,"Nam Bao Tin Import-Export Co., Ltd. Specializes in manufacturing tapioca starch and modified starch. Used as an additive raw material for the food production industry and the papermaking industry, ..."
"Minh Thanh Co., LTD",tel:+84 798 267024,Ho chi minh - Viet Nam,Art and craft activity games,"Handicraft materials, pottery",,"As a manufacture and trading company, we focus on bamboo and coconut products such as bowl, cup, plate, straw, cutlery, .... A small company like us is trying to expand our service to worldwide."
"Vina One Global Import & Export Co.,Ltd",tel:+84 84 962263417,Ho chi minh - Viet Nam,"Rice, processed","Rice, broken","Rice, long grain...",
Alice Trading and Construction Joint Stock Company,tel:+84 965846799,Ha noi - Viet Nam,Gloves,Flame welding and cutting machinery and equipment for metal,"Welding machines, oxy-hydrogen...",import and export medical equipment
BLV IMPORT EXPORT – TRADING – PRODUCTION COMPANY LIMITED,tel:+84 797 863863,Cat lai port - Viet Nam,Wooden products NES,"Fruit, tropical and subtropical",Fruit juices...,
"Vietnam Easy Electric Wire and Cable Co., LTD",tel:+84 932426715 0932426715,Ho chi minh - Viet Nam,"Organic acids, their anhydrides and acid halides",p-tert-Butylbenzoic acid,p-Chloro-o-metanilic acid...,
TYI Vietnam,tel:+84 700000 2822536790,Ho chi minh - Viet Nam,Plastic products for the mechanical engineering industry,"Seals and gaskets, metal","Mechanical seals, metal, lip seal, spring loaded...",
An Minh Medical Material Import Export Joint Stock Company,tel:+84 3 46199001,Ha noi - Viet Nam,Gloves,Medical equipment and instruments,"Syringe accessories, medical...",
"VIETNAM CLOSEOUT SOLUTIONS CO., LTD",tel:+84 901472626,Ho chi minh city - Viet Nam,Central purchasing organisations,"Central purchasing organisations for hypermarkets, department stores, high street stores and retail outlets",,"We provide closeout, clearance services to help the manufacturers, wholesalers, distributors to solve their problems of overstock, unsold, low rotation rate items, order cancellation or any surplus of product."
BLV Import Export Trading Production company,tel:+84 859520582,Ho chi minh - Viet Nam,"Fruit, tropical and subtropical",Pineapples,Passion fruit/grenadilla...,
CTY CP CHẾ BIẾN XUẤT NHẬP KHẨU THÚY SẢN TỈNH BRVT (XÍ NGHIỆP CHẾ BIẾN THỦY SẢN XK III),tel:+84 399 626165,Vũng tàu - Viet Nam,"Meat and fish, deep frozen","Fish, deep frozen","Fish, processed...",
Vietkiga,tel:+84 97 2356572,Hai duong city - Viet Nam,Gamma ray equipment,"Food and agricultural product preservation equipment, gamma ray",Pyrotechnical products...,Main busines - Planting garlic and spice plant - producing and processing for Agricultural products and healthy food - producing and processing for Medicinal herbs - producing and processing for Black garlic and products made from black garlic
PnL Ltd Co.,tel:+84 974470888,Hà nội - Viet Nam,Art and craft activity games,"Handicraft materials, beads",Handicraft sets...,
MD QUEENS JOINT STOCK COMPANY,tel:+84 +84 978918228,Hanoi - Viet Nam,Tea,,,"MD Queens Joint Stock Company launched the health care product, bringing real value to customers, elevating the Vietnamese brand. Product: MD QUEENS Celastrus Hindsii Tea"
Smiletech,tel:+84 912623203,Hanoi - Viet Nam,Chemicals for water treatment,,,
"TIEN THANH AGRICULTURAL PRODUCTION CO.,LTD",tel:+84 936509077,"Van yen district, yen bai province, vietnam - Viet Nam","Spices and herbs, processed","Cinnamon, processed","Cassia, processed",
Minhhoa Investment Joint Stock Company,tel:+84 964729086 0964729086,Ha noi - Viet Nam,"Valves, cocks, taps and fittings, by metal type","Valves, brass","Pipe, tube and hose fittings, metal...",
HANFIMEX GROUP,tel:+84 965521999 84965521999,Hanoi - Viet Nam,"Agricultural trailers, wagons and carts","Agricultural trailers, forage crops",Importers and exporters,
Vinacoma,tel:+84 90 3295824,Ha noi - Viet Nam,"Earthmoving and soil levelling equipment, farm use",Cranes,Forklift trucks...,"we trade used heavy equipment: Crane, excavator, roller, concrete pump, Forklift...worldwide"
Vinacoma,tel:+84 90 3295824,Ha noi - Viet Nam,Earth-moving machinery and equipment,Cranes,Forklift trucks...,"we trade used machine worldwide: Crane, Excavator, Roller, Rock Drill, Earthmoving equipment"
GT EQUIPMENT INDUSTRY LIMITED COMPANY,tel:+84 93 2661346,Tp hcm - Viet Nam,Refuse derived fuels (RDF),"Pellets, wood",Burners NES...,"chuyên cung cấp viên nén gỗ: > Lót chuồng trại, trang trại (gà, ngựa, bò, dê ...) > Use in the system device as gap (thay thế điện, than, dầu, lò ...) ) > Use in the device in the public products, the use"
CARA HAIR 19 COMPANY LIMITED,tel:+84 984465416 0984465416,Bac ninh - Viet Nam,Hair care products,"Personal care products and cosmetics, organic","Hair care products, organic...",Human hair factory VietNam Best Hair Supplier VietNam Hair. Best Price-Best Quality-Best Service . 100% Virgin Human Hair manufacturer. Raw Virgin Remy Hair WhatsApp : +84984465416 ( Paul )carahair19.com
"OODA INDUSTRIAL CO.,LTD",tel:+84 796309411,Long an province - Viet Nam,"Adhesives, synthetic","Adhesives, synthetic, hot melt",,
"NUTS FARM GL Co.,Ltd",tel:+84 907655156,Pleikiku city - Viet Nam,"Nuts, processed","Cashew nuts, processed","Nuts, edible...",
TAM VU RATTAN FURNITURE,tel:+84 90 6073952,Tan yen - Viet Nam,"Furniture, domestic","Furniture, wicker",Cushions and pillows...,Manufacturing and processing products according to long-term and short-term orders for outdoor decoration and interior products.
VIETNAM EXPORT IMPORT SERVICE & INVESTMENT JOINT STOCK COMPANY,tel:+84 2363787556 0914399001,Da nang - Viet Nam,Sand,Coal,Anthracite,
Ngai Cau Building and Commercial Joint Stock Company,tel:+84 84 93 459 1488,Bac ninh - Viet Nam,"Masts and pylons, metal","Bolts , metal, non-turned","Bolts, anchor, non-turned...",
Conical Travel,tel:+84 917025688,Hanoi - Viet Nam,"Travel agents, tour operators","Tour operators, green/rural tourism","Travel agents, event tourism...",
INDOCHINE VINA INTERNATIONAL TRADE PROMOTION COMPANY LIMITED,tel:+84 937775771,Ho chi minh - Viet Nam,Textile articles for medical and surgical use,"Masks, non-woven, disposable",Gloves,
Lotus Rice JSC,tel:+84 363153298,"District 7, ho chi minh city - Viet Nam",Cereals and pseudo cereals,Rice,"Rice, processed...",
AN PHU ORGANIC AGRICULTURE JOINT STOCK COMPANY,tel:+84 262 3686999,Buon ma thuot - Viet Nam,"Food, dehydrated and freeze-dried","Fruit, freeze-dried","Fruit, processed...",
"Vedan Vietnam Enterprise Corp., Ltd",tel:+84 251 3825111,Dong nai - Viet Nam,Natural and chemically derived additives for food and beverages,"Chemical additives for silo products, food industry",,
TAK FUNITURE COMPANY LIMITED,tel:+84 0274 3655778,Binh duong - Viet Nam,Furniture for plants and workshops,"Furniture, wooden, for factories","Tools and accessories, wooden, for builders' joinery...","We are TAK Furniture co.,ltd (TAK sofa legs factory). 100% Vietnamese capital. We have been manufacture a chairs, tables, bedroom and furniture parts (70% capacity), The material we use rubber wood, asian hardwood and Oak, Beech and Ash wood."
Công ty TNHH HHTC,tel:+84 84 0972801998,Hà nội - Viet Nam,Bamboo articles,"Kitchenware, bamboo",,
"ANLOC Outdoor Furniture CO.,Ltd",tel:+84 2563 84905368677,Binh dinh province - Viet Nam,Urban and outdoor furniture,"Furniture, domestic","Furniture, wicker",
LAVITEC TECHNOLOGY JSC,tel:+84 024 62654499,Ha noi - Viet Nam,"Disinfectants, indoor use","Disinfectants, deodorising",Disinfectants for metal...,
JK BRIAN COMPANY LIMITED,tel:+84 4 0934086348,Ho chi minh - Viet Nam,"Nuts, edible",Cashew nuts,"Coffee, tea and chicory processing plant and equipment...",
BAO LINH JOINT STOCK COMPANY,tel:+84 84 982594786,Nam dinh - Viet Nam,Clothes for men,Polo shirts for men,Sportswear and leisurewear...,
MONUMENT ASIA69 GROUP JSC,tel:+84 0908217561,Ho chi minh - Viet Nam,"Rubber products for medical, veterinary and laboratory use","Gloves, surgical and medical",,
MTFaco,tel:+84 0942 680726,Ho chi minh - Viet Nam,"Meat and fish, deep frozen","Fish, deep frozen","Fish, processed...",
"Thien dat co., ltd, - (-)",tel:+84 905042860 84905042860,Gia lai - Viet Nam,"Agricultural trailers, wagons and carts","Agricultural trailers, forage crops",Agricultural tractors...,We are trustworthy MFR & Supplier of Incense materials include: Joss powder Wood powder Bamboo sticks Spices: Ginger Turmeric Chili pepper Black pepper http://spicesnherbsvietnam.com/ http://josspowdervietnam.com/
Vilaconic Group,tel:+84 70000 84901329989,Ho chi minh - Viet Nam,Cereals and pseudo cereals,Rice,Drying machinery and equipment for the food industry...,
"Use Electronics Viet Nam Co., Ltd, USE Viet Nam",tel:+84 942810138 0942810138,Ha noi - Viet Nam,"Nuts, edible",Coconuts,"Nuts, processed...",
"HANG XANH LIMITED COMPANY, - (-)",tel:+84 356670970,Ho chi minh - Viet Nam,Vegetative propagation and plant breeding services,"Fruit trees and fruit bushes, micropropagation","Food, dehydrated and freeze-dried...",
ETB Joint Stock Company,tel:+84 028 71002666,Ho chi minh - Viet Nam,Importers and exporters,,,"Leading exporter of agricultural products to worldwide market: cashew, pepper, coffee, spices.."
Mekongfish JSC,tel:+84 838 237 728,Can tho - Viet Nam,"Food, dehydrated and freeze-dried","Seafood, freeze-dried","Fish, processed...",
"SAO MAI TRADING COMPANY, Ltd",tel:+84 0376809274,Hai phong - Viet Nam,"Workwear and uniforms, by occupation",Clothes for women,Tunics for women...,
"Vinh Cuu, -",tel:+84 907298888,Ho chi minh - Viet Nam,"Concrete products, precast","Tiles, wall and floor, prefabricated, concrete",,
"HN FASHION CO., LTD., HNF",tel:+84 283 54361528,Ho chi minh - Viet Nam,Knitwear,"Skirts and dresses, knitted",Special occasions clothes...,
"SAPO DAKLAK CO.,LTD",tel:+84 76 2790789,Hochiminh - Viet Nam,Fruit juices,"Fruit juice concentrates, frozen","Fruit juices, deep frozen...","WE ARE EXPORTER, MANUFACTURER FRESH/FROZEN FRUIT AND VEGETABLE. MAIN PRODUCT: FROZEN PASSION FRUIT JUICE SUB PRODUCT: CHILLI, CAPSICUM, LIME SEEDLESS, BEETROOT, PUMPKIN, DRAGON FRUIT, GUAVA, COCONUT....."
"Evotek, Evotek (JSC)",tel:+84 97 825 55 68,Cau giay - Viet Nam,Enterprise application software (EAS),"Software, customer relationship management (CRM)","Software, database and information management...",
"Tuildonai Trading, - (-)",tel:+84 70000 0948783600,Ho chi minh - Viet Nam,Clay tile and brick production plant and equipment,"Dies, clay brick and roof tile manufacturing",,
RegularSoftware (Sergei Gevorgian),tel:+84 84 819094681,Phan thiet - Viet Nam,"Software, graphic design and image processing","Software, virtual reality (VR)",,Regular Software
"THACO AUTO PARTS, THACO",tel:+84 235 3567161,Quang nam - Viet Nam,Motor vehicle steering and suspension parts,Leaf springs for motor vehicle suspensions,"Transmitting and rectifying tubes and valves, electronic...",
"Minh Vuong IETM co.,ltd",tel:+84 91 3044556,Hồ chí minh - Viet Nam,"Rubber products for medical, veterinary and laboratory use","Gloves, surgical and medical",,"import consumer goods Export of masks, medical gloves and food"
Unikery Company Limited,tel:+84 0356105388,Thủy sơn - Viet Nam,After sales services,,,"Adsmo provides one-stop solution of market research, development, market expansion and products promotion at Vietnam Market."
"VinaStraws Joint Stock Company, VinaStraws JSC",tel:+84 896698855,Ha noi - Viet Nam,Wallpaper and paper backed wall coverings,"Wall coverings, rice-paper and straw, paper backed",Fodder plants...,
"VNT Trading Import Export JSC, VNT Tradimex JSC",tel:+84 981240218,Hanoi - Viet Nam,Inorganic chemicals NES,Chemicals for laboratories and microbiology,Chromatography chemicals...,
"CJ Vina Gri Co.,Ltd",tel:+84 0272 3870363,Long an - Viet Nam,"Animal feed processing machinery and equipment, industrial","Feed production equipment, fish farm",,-
BITRA IMPORT EXPORT AND TRADING PRODUCTION LIMITED,tel:+84 84 84794584747,Ho chi minh city - Viet Nam,"Nets and netting, textile","Hammocks, knotted net",Garden furniture...,-
PECC3,tel:+84 2822211169,Ho chi minh - Viet Nam,Renewable energy consultants,Solar energy consultants,Wind energy consultants...,
"SEN VIET MEDICAL SUPPLIES CO., LTD, senviet facemask",tel:+84 274 2223666,Binh duong provice - Viet Nam,Textile articles for medical and surgical use,"Masks and caps, surgeons","Masks, non-woven, disposable",
HUONG SEN PACKAGING COMPANY LIMTED,tel:+84 943 061888,Thai binh - Viet Nam,"Bags and sacks, plastic","Bags, plastic, valved",Travel goods and bags...,
"Utea ID Co., Ltd",tel:+84 0989138822,Thanh ba - Viet Nam,Tea,,,"UTEA ID CO., LTD is one of the leading companies in producing green tea in Vietnam."
