company name,contact number,area,product category 1,product category 2,product category 3,company description
Bader Industrial Solutions,+20 12 11021498,"مدينه نصر, القاهره",Electric motors over 1 kW,Engines and mechanical parts,Electric motors up to 1 kW...,"Electric motors up to 1 kW...Importing, supplying, trading, installing & maintenance electrical requirement [electrical motors, control & speed devices]. CAPITAL PAID:- 10000 EGP Legal form: Ltd. Partnership Legal Sector:Private"
Amirco Import & Export,"+20 2 25909796, 02-27865959, 010-1494110",مدينه نصر.القاهره,"Nails, tacks, spikes and staples, metal","Hardware, ironmongery, cutlery and tools","Nails, tacks, spikes and staples, metal, by use...","Nails, tacks, spikes and staples, metal, by use...Importer & distributor of ironmongery & furniture accessories [locks & handles]. Legal form: Individual Ent. Legal Sector:Private"
Engineering Group for Trading & Contrauting,"+20 2 27361167 8 Lines, 02-27361168",الزمالك.القاهره,Printing equipment. Office and shop equipment,"Soft binding machinery and equipment, printing industry","Page collating and gathering machines, bookbinding...","Page collating and gathering machines, bookbinding..."
El-Shami Contracting,+20 2 25192826,"المعادى, القاهره","Spring, well, irrigation and water supply contractors",Civil and marine engineering contractors,Water supply and waterworks contractors...,"Water supply and waterworks contractors...Supply & installation of water plants, sewage, irrigation networks, treatment plants, water hammer safes, water & drainage pipes from steel all diagonals. Legal form: Individual Ent. Legal Sector:Private"
Egyptian German Electrical Manufacturing,"+20 2 22832951, 02-22839162, 02-22842930, 02-22841803, 02-22829605, 02-22822444",المطريه.القاهره,Electric motor components,Engines and mechanical parts,"Electric motor control centres, low voltage (LV)...","Electric motor control centres, low voltage (LV)..."
Maggie Medical,"+20 2 25166426, 02-25166419, 02-25166429",المعادى.القاهره,"Health, medical and pharmaceutical",Equipment and instruments for medical laboratories,Wholesale trade...,Wholesale trade...
Mobella,"+20 2 23786280, 02-23593385",المعادى.القاهره,"Flooring, wooden. Parquet","Timber, wooden products, machinery and equipment for the woodworking industry",Ironmongery and hardware for furniture...,Ironmongery and hardware for furniture...Agents of decoration requisites & kitchen accessories. Importer of wooden floor[parquet]. CAPITAL ISSUED:- 20000 EGP COMM.REGISTRY NO.:- 23786 Legal form: Partnership Legal Sector:Private
Ramsis for Trade & Distrubtion,"+20 11 21090784, 010-94911006","شبرا, القاهره",Agriculture and forestry,Root vegetables,Tuberous and rhizome vegetables...,"Tuberous and rhizome vegetables...Importing, exporting & trading of agricultural corps. Legal form: Individual Ent. Legal Sector:Private"
Nassib Torcom & Tawakol,"+20 2 25911102, 02-25903379, 02-25911800, 012-25294632",وسط البلد.القاهره,"Electric lighting equipment, indoor",Electrical equipment. Nuclear equipment,"Electric lighting equipment, indoor, by type...","Electric lighting equipment, indoor, by type..."
"P & P for Printing, Packaging & Wrapping Services","+20 2 24661624, 02-26821673, 012-2184907, 010-5107248, 010-6038973",العباسيه.القاهره,Chemical products,Inks,"Inks, printing, thermostable...","Inks, printing, thermostable..."
Aro Art for Import & Trading,"+20 2 22623855, 02-24037696, 02-22623859, 010-6670212, 010-6106648, 010-2166144, 010-9641328, 010-9641329, 010-6063156, 012-2166144",مدينه نصر.القاهره,"Timber/logs, temperate zone","Timber, wooden products, machinery and equipment for the woodworking industry","Timber/logs, tropical zone...","Timber/logs, tropical zone..."
Egyptian Factories Requisites,"+20 2 25747632, 02-25748942, 02-25754966, 02-25748945",بولاق ابوالعلا.القاهره,"Pipes, tubes, ducts and pipelines, ferrous metals","Metal pipework, valves and containers","Pipes and tubes, non-ferrous metals...","Pipes and tubes, non-ferrous metals...Importer of steam pipes & water cocks. Legal form: Individual Ent. Legal Sector:Private"
Mostafa Importing & Int'l Trading Corp,+20 2 24152663,مصر الجديده.القاهره,Sawn wood,"Timber, wooden products, machinery and equipment for the woodworking industry","Sawn wood, by use...","Sawn wood, by use...Importer & distributor of wood used in the furniture industry. Legal form: Individual Ent. Legal Sector:Private"
New Technology,"+20 2 22914651, 02-22914652, 02-22914653",مصر الجديده.القاهره,Chemical products,"Fertilisers, organic carbon based","Fertilisers, chemical and mineral...","Fertilisers, chemical and mineral..."
"Int'l Projects & Investment, IP & I","+20 2 25760714, 02-25761119, 010-1819404",وسط البلد.القاهره,Hygiene and cleaning,Hair care products,Hair shampoos...,Hair shampoos...
Int'l Elastic,"+20 2 26712194, 02-26712193, 02-26712931",مدينه نصر.القاهره,Textiles,"Yarns and fabrics, elastic","Tapes and ribbons, elastic","Tapes and ribbons, elasticManufacturer of elastic ribbons. Legal form: Joint Stock Legal Sector:Private"
Misr World Trading,+20 2 24171353,مصر الجديده.القاهره,Glass fibre products,"Glass, cement and ceramics",Glass fibres...,"Glass fibres...Agent & importer of fiberglass, car lights & accessories & decoration requisites. [Activity is Temporarily]. Legal form: Individual Ent. Legal Sector:Private"
Staff Egypt,"+20 2 23684849, 012-2151677",المنيل.القاهره,Furniture and linen,Office furniture,"Furniture, wooden, for offices...","Furniture, wooden, for offices...Importer & distributor of office furniture [computer tables & its accessories]. Legal form: Partnership Legal Sector:Private"
Interni Group for General Trading,+20 2 28450773,"القلعه, القاهره",Furniture and linen,Home decorations,Lampshades...,Lampshades...Importing & trading of home decorations & advertising requirements. Legal form: Ltd. Liability Legal Sector:Private
Global Office for Metal Safes & Furniture World,+20 12 23315250,"شبرا, القاهره",Furniture and linen,Security furniture,Key safes...,"Key safes...Manufacturing, importing, supplying & trading of metal safes (Uchida) & armored doors for banks, jewelers, exchange companies..etc, in addition to maintenance services for all safes. Legal form: Individual Ent. Legal Sector:Private"
Plastic & Consultations Centre-PCC,"+20 12 7345925, 02-26238732, 02-26247712, 02-26989740, 012-4269349, 012-7345920",ط.قاهره/اسماعيليه.القاهره,Fuels and petroleum based products,Chemical base materials,"Lubricants, petroleum based...","Lubricants, petroleum based...Commercial agents & importer of chemicals materials used for plastic products manufacturing. Exporter of petrochemicals. CAPITAL PAID:- 500000 USD Legal form: Ltd. Partnership Legal Sector:Private"
Kareem for Import-Abd El-Moneim Hassan Hassan & Partners,+20 2 25908691,وسط البلد.القاهره,Wholesale trade,"General traders, department and retail stores",Industrial machinery and equipment (wholesale),Industrial machinery and equipment (wholesale)Importer of water pumps. Legal form: Partnership Legal Sector:Private
Misr Engineering & Trade,"+20 2 27950060, 02-27964207",جاردن سيتى.القاهره,"Timber, wooden products, machinery and equipment for the woodworking industry",Woodworking tools,"Hardware, ironmongery, cutlery and tools...","Hardware, ironmongery, cutlery and tools...Importer of ironmongery hand tools & equipment [hammers, screw & saws]. 2 COMM.REGISTRY NO.:- 3199 South Cairo Legal form: Ltd. Partnership Legal Sector:Private"
Audio Technology,"+20 2 22901102, 02-22906712",مصر الجديده.القاهره,Telephones,Electronic equipment. Telecommunications equipment,Telephone conference telecommunication equipment...,Telephone conference telecommunication equipment...
Taba Group,"+20 2 44812250, 02-44812251, 02-44812252, 012-22381446",ط.قاهره/اسماعيليه.القاهره,Plastic packagings for the food and beverage industry,Plastic products,"Containers, bag-in-box, plastic, for dairy products...","Containers, bag-in-box, plastic, for dairy products..."
Tamco Trading & Distribution-Tamer Marzouk & Co.,"+20 2 23624856, 02-23645631, 02-23684094",مصر القديمه.القاهره,Tyres and inner tubes,Rubber products,"Tyres, radial ply...","Tyres, radial ply...Agent & distributor of motor vehicle tyres. CAPITAL PAID:- 1000000 EGP TOTAL ASSETS:- 85260533 EGP COMM.REGISTRY NO.:- 193680 Cairo TAX CARD NO.:- 100-049-095 Legal form: Ltd. Partnership Legal Sector:Private"
Dr.El-Kaissy & Co. Factory for Engineering Industries,"+20 2 26989810, 02-26988973, 010-1452004",ط.قاهره/اسماعيليه.القاهره,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Cooling towers,"Cooling towers, natural draught...","Cooling towers, natural draught..."
European Office Furniture,"+20 2 22023984, 012-23078326, 011-50209334","شبرا, القاهره",Furniture and linen,Office furniture,"Furniture, wooden, for offices...","Furniture, wooden, for offices..."
El-Sharekeya Landscape,"+20 2 25518594, 011-41216349","المعادى, القاهره",Agriculture and forestry,Landscaping and garden maintenance services,Landscape designers...,"Landscape designers...Landscape design services, garden design, creation & maintenance. Legal form: Individual Ent. Legal Sector:Private"
Technical for Engineering & Feeding Industries,"+20 2 44814253, 02-44814354, 02-44814445, 02-44814232, 010-6653717",ط.قاهره/اسماعيليه.القاهره,"Seals, closures and caps, plastic",Plastic products,"Seals, plastic...","Seals, plastic..."
Nil Trading,"+20 2 25931780, 02-25916647, 02-25909738",وسط البلد.القاهره,"Tyres and inner tubes, by vehicle type",Rubber products,Tyres for motor cars and vans...,Tyres for motor cars and vans...Importer & distributor of new cars & tyres. Legal form: Ltd. Partnership Legal Sector:Private
El-Minya Gas,"+20 2 24011743, 012-3606967, 010-6075460",مدينه نصر.القاهره,"Energy, fuel and water",Gas distribution,Distributors of liquefied petroleum gases (LPG),Distributors of liquefied petroleum gases (LPG)
Engineering for Trading & Manufacturing,"+20 2 44872610, 02-44872611, 02-44872612, 02-44872613, 02-44872614, 012-2110150, 010-6759962",ط.قاهره/اسماعيليه.القاهره,"Bars and rods, plastic",Plastic products,"Bars, aromatic polymer...","Bars, aromatic polymer...Manufacturer & Importer of plastic materials. CAPITAL PAID:- 3000000 EGP TOTAL ASSETS:- 46646487 EGP COMM.REGISTRY NO.:- 822 Cairo TAX CARD NO.:- 256-911-495 Legal form: Ltd. Partnership Legal Sector:Private"
New Giza for Real Estate Development,+20 2 27390700,الزمالك.القاهره,Building contractors,Building industry,Residential building contractors...,Residential building contractors...
El-Amal for Import & Export,"+20 2 22728666, 012-87422666","مدينه نصر, القاهره",Food,Cocoa and chocolate products,"Chocolates, by packaging type...","Chocolates, by packaging type...Importing raw materials using in dairy products industries such as Dry milk, cocoa butter alternate, shorting. Legal form: Individual Ent. Legal Sector:Private"
First for Trade & Development,+20 10 1408745,مدينه نصر.القاهره,Agriculture and forestry,Cereals and pseudo cereals,Corn/maize...,"Corn/maize...Importing & trading of corn gluten, corn, white sugar. CAPITAL PAID:- 20000 EGP COMM.REGISTRY NO.:- 12688 Cairo TAX CARD NO.:- 271-978-643 Legal form: Ltd. Partnership Legal Sector:Private"
Eltalyany,"+20 2 26423717, 010-6128004",حدائق القبه.القاهره,Polishes,Hygiene and cleaning,Polishes for motor cars...,Polishes for motor cars...
Asset Trading Agencies & Distribution,+20 2 25261367,المعادى.القاهره,"Pipes, tubes, ducts and hoses, plastic",Plastic products,"Pipes and tubes, polypropylene (PP)...","Pipes and tubes, polypropylene (PP)...Agent & Importer of polypropylene pipes."
Hi Tech Nour for Security Systems & Surveillance Camera,"+20 2 22704484, 02-22730446, 010-25008099","مدينه نصر, القاهره",Security equipment,Fire extinguishers and fire extinguishing systems,Smoke and fire detectors and alarms...,Smoke and fire detectors and alarms...
Atlanta for Import & Export,"+20 2 25910748, 02-22126283",الازهر.القاهره,Wholesale trade,"General traders, department and retail stores","Food, beverages and tobacco (wholesale)","Food, beverages and tobacco (wholesale)Imports foodstuff. CAPITAL PAID:- 20000 EGP COMM.REGISTRY NO.:- 288929 Legal form: Ltd. Partnership Legal Sector:Private"
Technogreen for Agricultural Investments,"+20 2 24178646, 02-24178644, 02-24155133, 010-1600661",مصر الجديده.القاهره,Agriculture and forestry,Fruit vegetables,Tomatoes...,Tomatoes...
